Item Code,Item Name,Item Group,Item category,Item Sub-Category,
EPDM-0005-EVEREST,Hat EPDM - 8mm-EVEREST,EPDM Washer / Tape,Tin Shed MMS,EPDM Washer / Tape,
EPDM-0005-BHAWANI,Hat EPDM - 8mm-BHAWANI,EPDM Washer / Tape,Tin Shed MMS,EPDM Washer / Tape,
GMTR-0019-SECURE,"40-200A, Prodigy - Energy Generation Meter Class 1.0 for MH Discom-SECURE",Generation Meter,Metering,Generation Meter,
GMTR-0020-L&T,"5-30A, Class 1, DLMS, 1P 2W 240V, Single Phase Generation Meter for MSEDCL (WM101BC5MSDLMS)-L&T",Generation Meter,Metering,Generation Meter,
GMTR-0061-L&T,"10-60A, Class 1, TVM 3P 4W 240V DLMS, Three Phase Generation Meter for RJ DISCOM (WR300BC73RSOLAR)-L&T",Generation Meter,Metering,Generation Meter,
NMTR-0046-SECURE,"40-200A, Prodigy - Bidirectional Net Meter Class 1.0 for MH Discom-SECURE",Net Meter,Metering,Net Meter,
EALA-0035-Torrent,ESE Lightning Arrester with Level IV Protection & 107m radius of protection-Torrent,L A,Earthing & LA,ESE LA,
EALA-0034-SGI,ESE Lightning Arrester with Level IV Protection & 107m radius of protection - Model: TARAN-SGI,L A,Earthing & LA,ESE LA,
INVS-0212-SUNGROW,125 kW 3 Phase Inverter SG125CX-P2-SUNGROW,II Gen,Inverter,3 Ph String Inverter,
INVS-0211-SUNGROW,110 kW 3 Phase Inverter SG110CX-SUNGROW,II Gen,Inverter,3 Ph String Inverter,
INVS-0210-SUNGROW,50 kW 3 Phase Inverter SG50CX-P2-SUNGROW,II Gen,Inverter,3 Ph String Inverter,
INVS-0209-SUNGROW,33 kW 3 Phase Inverter SG33CX-SUNGROW,II Gen,Inverter,3 Ph String Inverter,
MDCR-0030-Waree,545 Wp Mono Bifacial Non DCR-Waree,Non DCR,Module,Mono Bifacial Non DCR (all makes),
CMCC-0002-ELMEX,MC4 Connector for 4 sqmm DC Cable - MALE - 32.0017P0001-UR-ELMEX,MC4 Connector,Electrical BoS,MC4 Connector,
